/* The timer/log is segmented. If you need previous logs, check the igt_freeze_1.log file. */
Tick 59491(59058), Delay 44 ms, IGT 49:12.714, RTA 56:13.826-56:13.870
Tick 59492(59059), Delay 29 ms, IGT 49:12.764, RTA 56:13.870-56:13.899
Tick 59493(59060), Delay 66 ms, IGT 49:12.814, RTA 56:13.899-56:13.965
Tick 59494(59061), Delay 38 ms, IGT 49:12.864, RTA 56:13.965-56:14.003
Tick 59496(59063), Delay 60 ms, IGT 49:12.964, RTA 56:14.052-56:14.112
Tick 59497(59064), Delay 39 ms, IGT 49:13.014, RTA 56:14.112-56:14.151
Tick 59499(59066), Delay 64 ms, IGT 49:13.114, RTA 56:14.200-56:14.264
Tick 59500(59067), Delay 44 ms, IGT 49:13.164, RTA 56:14.264-56:14.308
Tick 59501(59068), Delay 55 ms, IGT 49:13.214, RTA 56:14.308-56:14.363
Tick 59503(59070), Delay 39 ms, IGT 49:13.314, RTA 56:14.411-56:14.450
Tick 59504(59071), Delay 58 ms, IGT 49:13.364, RTA 56:14.450-56:14.508
Tick 59508(59075), Delay 63 ms, IGT 49:13.564, RTA 56:14.658-56:14.721
Tick 59510(59077), Delay 31 ms, IGT 49:13.664, RTA 56:14.769-56:14.800
Tick 59512(59079), Delay 56 ms, IGT 49:13.764, RTA 56:14.852-56:14.908
Tick 59523(59090), Delay 45 ms, IGT 49:14.314, RTA 56:15.405-56:15.450
Tick 59528(59095), Delay 55 ms, IGT 49:14.564, RTA 56:15.654-56:15.709
Tick 59530(59097), Delay 42 ms, IGT 49:14.664, RTA 56:15.759-56:15.801
Tick 59532(59099), Delay 56 ms, IGT 49:14.764, RTA 56:15.849-56:15.905
Tick 59534(59101), Delay 55 ms, IGT 49:14.864, RTA 56:15.958-56:16.013
Tick 59535(59102), Delay 43 ms, IGT 49:14.914, RTA 56:16.013-56:16.056
Tick 59536(59103), Delay 56 ms, IGT 49:14.964, RTA 56:16.056-56:16.112
Tick 59538(59105), Delay 55 ms, IGT 49:15.064, RTA 56:16.160-56:16.215
Tick 59539(59106), Delay 43 ms, IGT 49:15.114, RTA 56:16.215-56:16.258
Tick 59540(59107), Delay 60 ms, IGT 49:15.164, RTA 56:16.258-56:16.318
Tick 59541(59108), Delay 33 ms, IGT 49:15.214, RTA 56:16.318-56:16.351
Tick 59542(59109), Delay 63 ms, IGT 49:15.264, RTA 56:16.351-56:16.414
Tick 59545(59112), Delay 43 ms, IGT 49:15.414, RTA 56:16.509-56:16.552
Tick 59547(59114), Delay 65 ms, IGT 49:15.514, RTA 56:16.599-56:16.664
Tick 59548(59115), Delay 40 ms, IGT 49:15.564, RTA 56:16.664-56:16.704
Tick 59550(59117), Delay 59 ms, IGT 49:15.664, RTA 56:16.755-56:16.814
Tick 59551(59118), Delay 40 ms, IGT 49:15.714, RTA 56:16.814-56:16.854
Tick 59554(59121), Delay 56 ms, IGT 49:15.864, RTA 56:16.953-56:17.009
Tick 59555(59122), Delay 44 ms, IGT 49:15.914, RTA 56:17.009-56:17.053
Tick 59556(59123), Delay 55 ms, IGT 49:15.964, RTA 56:17.053-56:17.108
Tick 59557(59124), Delay 44 ms, IGT 49:16.014, RTA 56:17.108-56:17.152
Tick 59565(59132), Delay 45 ms, IGT 49:16.414, RTA 56:17.504-56:17.549
Tick 59566(59133), Delay 58 ms, IGT 49:16.464, RTA 56:17.549-56:17.607
Tick 59568(59135), Delay 45 ms, IGT 49:16.564, RTA 56:17.656-56:17.701
Tick 59571(59138), Delay 56 ms, IGT 49:16.714, RTA 56:17.807-56:17.863
Tick 59572(59139), Delay 43 ms, IGT 49:16.764, RTA 56:17.863-56:17.906
Tick 59573(59140), Delay 60 ms, IGT 49:16.814, RTA 56:17.906-56:17.966
Tick 59575(59142), Delay 43 ms, IGT 49:16.914, RTA 56:18.015-56:18.058
Tick 59578(59145), Delay 68 ms, IGT 49:17.064, RTA 56:18.155-56:18.223
Tick 59581(59148), Delay 31 ms, IGT 49:17.214, RTA 56:18.326-56:18.357
Tick 59582(59149), Delay 68 ms, IGT 49:17.264, RTA 56:18.357-56:18.425
Tick 59584(59151), Delay 41 ms, IGT 49:17.364, RTA 56:18.472-56:18.513
Tick 59585(59152), Delay 59 ms, IGT 49:17.414, RTA 56:18.513-56:18.572
Tick 59586(59153), Delay 31 ms, IGT 49:17.464, RTA 56:18.572-56:18.603
Tick 59587(59154), Delay 72 ms, IGT 49:17.514, RTA 56:18.603-56:18.675
Tick 59588(59155), Delay 33 ms, IGT 49:17.564, RTA 56:18.675-56:18.708
Tick 59589(59156), Delay 44 ms, IGT 49:17.614, RTA 56:18.708-56:18.752
Tick 59590(59157), Delay 78 ms, IGT 49:17.664, RTA 56:18.752-56:18.830
Tick 59591(59158), Delay 41 ms, IGT 49:17.714, RTA 56:18.830-56:18.871
Tick 59592(59159), Delay 36 ms, IGT 49:17.764, RTA 56:18.871-56:18.907
Tick 59593(59160), Delay 58 ms, IGT 49:17.814, RTA 56:18.907-56:18.965
Tick 59595(59162), Delay 42 ms, IGT 49:17.914, RTA 56:19.015-56:19.057
Tick 59597(59164), Delay 57 ms, IGT 49:18.014, RTA 56:19.109-56:19.166
Tick 59598(59165), Delay 35 ms, IGT 49:18.064, RTA 56:19.166-56:19.201
Tick 59605(59172), Delay 58 ms, IGT 49:18.414, RTA 56:19.502-56:19.560
Tick 59607(59174), Delay 43 ms, IGT 49:18.514, RTA 56:19.610-56:19.653
Tick 59608(59175), Delay 57 ms, IGT 49:18.564, RTA 56:19.653-56:19.710
Tick 59610(59177), Delay 68 ms, IGT 49:18.664, RTA 56:19.757-56:19.825
Tick 59611(59178), Delay 40 ms, IGT 49:18.714, RTA 56:19.825-56:19.865
Tick 59612(59179), Delay 45 ms, IGT 49:18.764, RTA 56:19.865-56:19.910
Tick 59613(59180), Delay 40 ms, IGT 49:18.814, RTA 56:19.910-56:19.950
Tick 59616(59183), Delay 57 ms, IGT 49:18.964, RTA 56:20.053-56:20.110
Tick 59618(59185), Delay 43 ms, IGT 49:19.064, RTA 56:20.161-56:20.204
Tick 59621(59188), Delay 44 ms, IGT 49:19.214, RTA 56:20.309-56:20.353
Tick 59624(59191), Delay 42 ms, IGT 49:19.364, RTA 56:20.458-56:20.500
Tick 59625(59192), Delay 62 ms, IGT 49:19.414, RTA 56:20.500-56:20.562
Tick 59629(59196), Delay 45 ms, IGT 49:19.614, RTA 56:20.711-56:20.756
Tick 59631(59198), Delay 58 ms, IGT 49:19.714, RTA 56:20.804-56:20.862
Tick 59632(59199), Delay 44 ms, IGT 49:19.764, RTA 56:20.862-56:20.906
Tick 59634(59201), Delay 57 ms, IGT 49:19.864, RTA 56:20.952-56:21.009
Tick 59635(59202), Delay 42 ms, IGT 49:19.914, RTA 56:21.009-56:21.051
Tick 59636(59203), Delay 63 ms, IGT 49:19.964, RTA 56:21.051-56:21.114
Tick 59637(59204), Delay 37 ms, IGT 49:20.014, RTA 56:21.114-56:21.151
Tick 59638(59205), Delay 68 ms, IGT 49:20.064, RTA 56:21.151-56:21.219
Tick 59639(59206), Delay 34 ms, IGT 49:20.114, RTA 56:21.219-56:21.253
Tick 59643(59210), Delay 61 ms, IGT 49:20.314, RTA 56:21.401-56:21.462
Tick 59644(59211), Delay 41 ms, IGT 49:20.364, RTA 56:21.462-56:21.503
Tick 59647(59214), Delay 59 ms, IGT 49:20.514, RTA 56:21.602-56:21.661
Tick 59649(59216), Delay 37 ms, IGT 49:20.614, RTA 56:21.714-56:21.751
Tick 59650(59217), Delay 56 ms, IGT 49:20.664, RTA 56:21.751-56:21.807
Tick 59651(59218), Delay 43 ms, IGT 49:20.714, RTA 56:21.807-56:21.850
Tick 59654(59221), Delay 58 ms, IGT 49:20.864, RTA 56:21.951-56:22.009
Tick 59662(59229), Delay 44 ms, IGT 49:21.264, RTA 56:22.357-56:22.401
Tick 59663(59230), Delay 68 ms, IGT 49:21.314, RTA 56:22.401-56:22.469
Tick 59664(59231), Delay 32 ms, IGT 49:21.364, RTA 56:22.469-56:22.501
Tick 59665(59232), Delay 58 ms, IGT 49:21.414, RTA 56:22.501-56:22.559
Tick 59666(59233), Delay 42 ms, IGT 49:21.464, RTA 56:22.559-56:22.601
Tick 59668(59235), Delay 66 ms, IGT 49:21.564, RTA 56:22.650-56:22.716
Tick 59669(59236), Delay 44 ms, IGT 49:21.614, RTA 56:22.716-56:22.760
Tick 59670(59237), Delay 74 ms, IGT 49:21.664, RTA 56:22.760-56:22.834
Tick 59671(59238), Delay 21 ms, IGT 49:21.714, RTA 56:22.834-56:22.855
Tick 59672(59239), Delay 56 ms, IGT 49:21.764, RTA 56:22.855-56:22.911
Tick 59673(59240), Delay 40 ms, IGT 49:21.814, RTA 56:22.911-56:22.951
Tick 59676(59243), Delay 55 ms, IGT 49:21.964, RTA 56:23.051-56:23.106
Tick 59681(59248), Delay 44 ms, IGT 49:22.214, RTA 56:23.311-56:23.355
