Tick 105(55), Delay 68 ms, IGT 00:02.718, RTA 00:08.012-00:08.080
Tick 106(56), Delay 13 ms, IGT 00:02.768, RTA 00:08.080-00:08.093
Tick 107(57), Delay 137 ms, IGT 00:02.818, RTA 00:08.093-00:08.230
Tick 108(58), Delay 10 ms, IGT 00:02.868, RTA 00:08.230-00:08.240
Tick 109(59), Delay 7 ms, IGT 00:02.918, RTA 00:08.240-00:08.247
Tick 110(60), Delay 62 ms, IGT 00:02.968, RTA 00:08.247-00:08.309
Tick 111(61), Delay 86 ms, IGT 00:03.018, RTA 00:08.309-00:08.395
Tick 112(62), Delay 11 ms, IGT 00:03.068, RTA 00:08.395-00:08.406
Tick 113(63), Delay 66 ms, IGT 00:03.118, RTA 00:08.406-00:08.472
Tick 114(64), Delay 74 ms, IGT 00:03.168, RTA 00:08.472-00:08.546
Tick 115(65), Delay 8 ms, IGT 00:03.218, RTA 00:08.546-00:08.554
Tick 116(66), Delay 66 ms, IGT 00:03.268, RTA 00:08.554-00:08.620
Tick 117(67), Delay 109 ms, IGT 00:03.318, RTA 00:08.620-00:08.729
Tick 118(68), Delay 14 ms, IGT 00:03.368, RTA 00:08.729-00:08.743
Tick 119(69), Delay 67 ms, IGT 00:03.418, RTA 00:08.743-00:08.810
Tick 120(70), Delay 6 ms, IGT 00:03.468, RTA 00:08.810-00:08.816
Tick 122(72), Delay 24 ms, IGT 00:03.568, RTA 00:08.868-00:08.892
Tick 123(73), Delay 33 ms, IGT 00:03.618, RTA 00:08.892-00:08.925
Tick 124(74), Delay 71 ms, IGT 00:03.668, RTA 00:08.925-00:08.996
Tick 125(75), Delay 36 ms, IGT 00:03.718, RTA 00:08.996-00:09.032
Tick 127(77), Delay 69 ms, IGT 00:03.818, RTA 00:09.084-00:09.153
Tick 128(78), Delay 31 ms, IGT 00:03.868, RTA 00:09.153-00:09.184
Tick 129(79), Delay 45 ms, IGT 00:03.918, RTA 00:09.184-00:09.229
Tick 130(80), Delay 59 ms, IGT 00:03.968, RTA 00:09.229-00:09.288
Tick 131(81), Delay 56 ms, IGT 00:04.018, RTA 00:09.288-00:09.344
Tick 132(82), Delay 38 ms, IGT 00:04.068, RTA 00:09.344-00:09.382
Tick 134(84), Delay 44 ms, IGT 00:04.168, RTA 00:09.431-00:09.475
Tick 135(85), Delay 64 ms, IGT 00:04.218, RTA 00:09.475-00:09.539
Tick 136(86), Delay 71 ms, IGT 00:04.268, RTA 00:09.539-00:09.610
Tick 138(88), Delay 40 ms, IGT 00:04.368, RTA 00:09.662-00:09.702
Tick 139(89), Delay 295 ms, IGT 00:04.418, RTA 00:09.702-00:09.997
Tick 140(90), Delay 6 ms, IGT 00:04.468, RTA 00:09.997-00:10.003
Tick 141(91), Delay 8 ms, IGT 00:04.518, RTA 00:10.003-00:10.011
Tick 142(92), Delay 5 ms, IGT 00:04.568, RTA 00:10.011-00:10.016
Tick 143(93), Delay 5 ms, IGT 00:04.618, RTA 00:10.016-00:10.021
Tick 144(94), Delay 6 ms, IGT 00:04.668, RTA 00:10.021-00:10.027
Tick 145(95), Delay 108 ms, IGT 00:04.718, RTA 00:10.027-00:10.135
Tick 146(96), Delay 12 ms, IGT 00:04.768, RTA 00:10.135-00:10.147
Tick 147(97), Delay 5 ms, IGT 00:04.818, RTA 00:10.147-00:10.152
Tick 150(100), Delay 43 ms, IGT 00:04.968, RTA 00:10.257-00:10.300
Tick 151(101), Delay 315 ms, IGT 00:05.018, RTA 00:10.300-00:10.615
Tick 152(102), Delay 41 ms, IGT 00:05.068, RTA 00:10.615-00:10.656
Tick 153(103), Delay 6 ms, IGT 00:05.118, RTA 00:10.656-00:10.662
Tick 154(104), Delay 6 ms, IGT 00:05.168, RTA 00:10.662-00:10.668
Tick 155(105), Delay 5 ms, IGT 00:05.218, RTA 00:10.668-00:10.673
Tick 156(106), Delay 5 ms, IGT 00:05.268, RTA 00:10.673-00:10.678
Tick 157(107), Delay 5 ms, IGT 00:05.318, RTA 00:10.678-00:10.683
Tick 158(108), Delay 42 ms, IGT 00:05.368, RTA 00:10.683-00:10.725
